,airline_sentiment,text
5755,neutral,@united Educate Bohol is a 501(c)(3) w/all volunteer staff. I can help the kids or buy a plane ticket ...I can't do both. Can you help?
2633,negative,"@JetBlue I'm disappointed my flight was Cancelled Flighted, mostly because I was excited to listen to the song ""I'm Blue"" while flying on JetBlue."
5087,neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
875,positive,@united provide a voucher for one of my customers and I will tweet about you all day long #earnedmybusiness
4436,negative,@SouthwestAir no had to rebook my flight myself and am about to board in bham.
4615,negative,@AmericanAir still waiting for a flight... I should get my money back
5106,neutral,“@JetBlue: @dlewis2412 Sorry! Please ask Inflght if there is an open seat you can move to.” Will do!
4139,negative,@USAirways Been on hold 2.5 hours now! System hung up on me twice after an hour holding. :(  Trying 2 correct online Flight Booking Problems error. #unhappy
1411,positive,@JetBlue just mine sadly.. But yea the fly fi is awesome
1187,positive,@SouthwestAir nice touch on the passbook integration!
6951,neutral,@SouthwestAir Can you please follow so I can DM? Thx!
3512,negative,"@AmericanAir Still sitting in airport as 6:05 flt delayed until 6:55...but still not boarding, what is happening?  No info...."
4320,negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
1835,positive,@united would love help getting there today. In #EWR now. Will take any airline and connections. Thx
323,positive,@AmericanAir Thanks! He is.
2240,positive,@SouthwestAir I wanted to thank the great efforts of Jamie McKinnie in BUF she is a true pro! during major delays she was owning it! #raise
6055,neutral,@USAirways can you help chairman? I am on flight 686 PHX connect 599 SJC will miss connection can you reroute please.
4728,neutral,"@united  Need to change flight from this Tuesday to sooner to attend to ailing parent in FL, Need help!! #custserv"
965,positive,@united thanks for moving my dad on to my my mom's flight. You helped make his birthday start with #FriendlyFriday Awesomeness! 4 paws up!
897,positive,@JetBlue Big thanks to Ricardo Olavarria at Reagan Airport. Fixed our ticket and made sure we made it for our friend's wedding #greatservice
3610,negative,@USAirways My flight (US558) got Cancelled Flightled on 2/16 due to lack of flight crew.I was told that I'd be reimbursed for hotel. Who do I contact?
3976,negative,@USAirways how does an airline misplace an airline attendant?!! been at Reagan airport since 1pm10:15 to Cincy is delayed trying to find her
4542,negative,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.
4143,negative,@jetblue are going to let Fl382 into a gate in BOS any time soon? We're just sittin' here on the tarmac  waiting.
6938,neutral,@AmericanAir will do. I also passed the website around to other passengers.
3142,negative,@united customers aren't dumb. These revenue based programs will hurt everyone. Not gonna save money like you think
4463,negative,@SouthwestAir I am genuinely surprised you all don't upgrade people when you Cancelled Flight their flights or at least put them in a comparable spot
291,positive,@united  thank you for a great flight in gfc :) Cheers http://t.co/nvLnGLnMGN
349,positive,Thank U 😘 “@JetBlue: @ItsLaLoca But of course! Safety is always 1st!  We'll make sure to handle her with CARE and LOVE!  :)”
503,positive,First base already? I like your style @JetBlue
1430,positive,@SouthwestAir you are lucky to have people like Annamarie and Norris at BWI. I hope they get recognized for excellent cust. service
2689,negative,@JetBlue disappointed with the missed connection from ROC to SLC and no reimbursement even tho friend who is a pilot said it was due to ATC
1600,positive,@JetBlue Still love you guys. But get me to Vegas already! ☀️🌴✈️🍸🎲
177,positive,@SouthwestAir and thanks!
868,positive,@USAirways I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing
5016,neutral,@AmericanAir Hi guys.I have 2/25 RNO-DFW tomorrow.Plane coming from DFW with bad weather in AM.should I consider Fê-route as I have connect?
2816,negative,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
2488,negative,@united No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business.
5747,neutral,@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?
472,positive,@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.
2797,negative,@united this is the second time my flights been Cancelled Flightled... Like really?
671,positive,@USAirways Thank you!!! This whole crew has rocked through bad weather and diversion. Pilot keeping us well informed. #customerservice
5356,neutral,@united what do you have in mind?
7062,neutral,"@JetBlue #FlyingItForward I'd fly to Port au Prince, Haiti to help with the on-going earthquake relief efforts. Still lots to do there!"
247,positive,@AmericanAir All of the nicest people in the world work at Admiral's clubs. Gladys in San Juan es mi Amiga
365,positive,@JetBlue lolol @s_myc88
5288,neutral,@united unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight
